0,1,2,3,Min Jaccard Distance,Min Euclidean Distance,Most Matching Term by Jaccard,Most Matching Term by Euclidean,Most Matching Term by Levenshtein,Min Levenshtein Distance
PMID,Child Concept,Relationship,Parent Concept,,,,,social risk factor,15.0
34334214,Economic instability,is-a,Economic condition,0.0,0.0,'economic condition','economic condition','economic condition',2.0
34334214,Negative earnings shock,is-a,Economic instability,0.0,0.0,'economic instability','economic instability','economic instability',2.0
34334214,CPS involvement,is-a,Child welfare involvement,,,,,health care access factor,21.0
34334214,Child abuse,is-a,CPS involvement,,,,,social risk factor,16.0
34334214,Child neglect,is-a,CPS involvement,,,,,social risk factor,16.0
34334214,Safety net programs,is-a,Social benefits,,,,,social risk factor,9.0
34334214,Child maltreatment investigations,is-a,CPS involvement,,,,,social risk factor,16.0
34334214,Benefit receipt,is-a,Safety net programs access,,,,,health care access factor,21.0
34334214,Income stability,is-a,Economic stability,0.0,0.0,'economic stability','economic stability','economic stability',2.0
31169392,Family income,is-a,aspect of economic adversity,,,,,'economic stability',17.0
31169392,Material hardship,is-a,aspect of economic adversity,,,,,'economic stability',17.0
31169392,Financial strain,is-a,aspect of economic adversity,,,,,'economic stability',17.0
31169392,Economic instability,is-a,aspect of economic adversity,,,,,'economic stability',17.0
31169392,Household chaos,is-a,aspect of economic adversity,,,,,'economic stability',17.0
32981999,Family income,is-a,economic characteristic,0.6666666666666667,,'economic stability',,'economic stability',12.0
32981999,Household economic instability,is-a,household characteristic,,,,,health care access factor,19.0
32981999,Employment instability,is-a,economic characteristic,0.6666666666666667,,'economic stability',,'economic stability',12.0
32981999,Public assistance benefits,is-a,source of income,,,,,social risk factor,13.0
32981999,Employment status,is-a,employment characteristic,,,,,'economic stability',19.0
32981999,Household hardship,is-a,socioeconomic condition,0.6666666666666667,,'economic condition',,'economic condition',6.0
32981999,Economic instability,is-a,socioeconomic condition,0.6666666666666667,,'economic condition',,'economic condition',6.0
37980086,Air Pollution,is-a,Environmental Health Risk,,,,,social risk factor,20.0
37980086,Obesity,is-a,Health Condition,0.6666666666666667,,'economic condition',,'economic condition',9.0
37980086,Physical Inactivity,is-a,Lifestyle Factor,,,,,social risk factor,10.0
37980086,Low Income,is-a,Economic Factor,0.6666666666666667,,'economic stability',,social risk factor,9.0
25741184,Joint instability,is-a,health disorder,,,,,social risk factor,14.0
25741184,Osteoarthritis,is-a,joint disease,,,,,social risk factor,12.0
25741184,Ligament injury,is-a,joint injury,,,,,social risk factor,14.0
25741184,Periarticular muscles,is-a,major joint tissue,,,,,social risk factor,16.0
25741184,Knee,is-a,joint,,,,,social risk factor,15.0
25741184,Ankle,is-a,joint,,,,,social risk factor,15.0
25741184,Shoulder,is-a,joint,,,,,social risk factor,15.0
25741184,Joint instability-induced OA,is-a,clinical sign,,,,,social risk factor,15.0
23237683,HIV/AIDS epidemic,is-a,epidemic,,,,,social risk factor,15.0
23237683,South Africa,is-a,sub-Saharan African country,,,,,social risk factor,20.0
23237683,Botswana,is-a,sub-Saharan African country,,,,,social risk factor,20.0
23237683,Uganda,is-a,sub-Saharan African country,,,,,social risk factor,20.0
23237683,Zimbabwe,is-a,sub-Saharan African country,,,,,social risk factor,20.0
23237683,Political problems,is-a,social determinant,,,,,social risk factor,11.0
23237683,Social problems,is-a,social determinant,,,,,social risk factor,11.0
23237683,Economic problems,is-a,social determinant,,,,,social risk factor,11.0
23237683,Instability,is-a,social determinant,,,,,social risk factor,11.0
23237683,Breakdown of social ties,is-a,social determinant,,,,,social risk factor,11.0
23237683,Collective action/responsibility,is-a,theory,,,,,social risk factor,17.0
23237683,Social cohesion,is-a,theory,,,,,social risk factor,17.0
23237683,Conflicts and unrest,is-a,social determinant,,,,,social risk factor,11.0
35041484,Cardiovascular disease,is-a,disease,,,,,social risk factor,15.0
35041484,Healthcare system,is-a,social determinant of health,,,,,social risk factor,16.0
35041484,Economic stability,is-a,social determinant of health,,,,,social risk factor,16.0
35041484,Education,is-a,social determinant of health,,,,,social risk factor,16.0
35041484,Neighborhood and physical environment,is-a,social determinant of health,,,,,social risk factor,16.0
35041484,Community and social context,is-a,social determinant of health,,,,,social risk factor,16.0
35041484,Race,is-a,factor influencing health,0.6,,health care access factor,,social risk factor,19.0
35041484,Racism,is-a,societal issue affecting health,,,,,social risk factor,19.0
35041484,Structural racism,is-a,societal issue affecting health,,,,,social risk factor,19.0
35041484,Black,Hispanic,"American Indian, Asian, is-a, racial and ethnic groups",,,,,'educational access and quality',39.0
35041484,Social disadvantage,is-a,factor contributing to health disparities,,,,,'economic instability',30.0
35041484,Health equity,is-a,goal of health policy,,,,,social risk factor,17.0
28937462,This study,has objective,review all articles related to spinal instability,,,,,'healthcare access and equality',34.0
28937462,Spinal instability,is a characteristic of,Traumatic fractures of the thoracolumbar spine,,,,,'impact of poor neighborhood',34.0
28937462,Traumatic fractures of the thoracolumbar spine,can cause,neurological deficits,,,,,'economic stability',14.0
28937462,Traumatic fractures of the thoracolumbar spine,can cause,disability,,,,,'economic stability',11.0
28937462,Traumatic fractures of the thoracolumbar spine,can cause,deformity,,,,,'economic stability',14.0
28937462,Traumatic fractures of the thoracolumbar spine,can cause,pain,,,,,social risk factor,16.0
28937462,Traumatic fractures of the thoracolumbar spine,represent,economic burden to society,,,,,'economic instability',14.0
28937462,Spinal instability,is an important task for assessment by,spine surgeons,,,,,social risk factor,14.0
28937462,Spinal instability,lacks,clinically applicable definition,,,,,social risk factor,23.0
37019584,Social determinants of health,is-a,social condition,0.6666666666666667,,'economic condition',,'economic condition',9.0
37019584,Social determinants of health,is-a,environment aspect,,,,,social risk factor,16.0
37019584,Social determinants of health,is-a,geographic location factor,,,,,social risk factor,15.0
37019584,Social determinants of health,is-a,health care access factor,0.0,0.0,health care access factor,health care access factor,health care access factor,0.0
37019584,Social determinants of health,is-a,nutrition aspect,,,,,social risk factor,16.0
37019584,Social determinants of health,is-a,socioeconomic factor,,,,,social risk factor,9.0
37019584,Economic stability,is-a,domain of Social determinants of health,,,,,'impact of social and community factors',23.0
37019584,Education,is-a,domain of Social determinants of health,,,,,'impact of social and community factors',23.0
37019584,Health care access and quality,is-a,domain of Social determinants of health,,,,,'impact of social and community factors',23.0
37019584,Social and community context,is-a,domain of Social determinants of health,,,,,'impact of social and community factors',23.0
37019584,Neighborhood and built environment,is-a,domain of Social determinants of health,,,,,'impact of social and community factors',23.0
37019584,Cardiovascular care,is-a,area impacted by Social determinants of health,,,,,'impact of social and community factors',27.0
31332597,Transactional sex,is-associated-with,socioeconomic disadvantage,,,,,'economic stability',15.0
31332597,Transactional sex,is-associated-with,HIV risk,,,,,social risk factor,12.0
31332597,Transactional sex,is-distinguished-from,sex work,,,,,social risk factor,15.0
31332597,Food insecurity,is-a,"predictor of, transactional sex",,,,,'economic condition',22.0
31332597,Housing instability,is-a,"predictor of, transactional sex",,,,,'economic condition',22.0
31332597,Substance abuse,is-a,"predictor of, transactional sex",,,,,'economic condition',22.0
31332597,Partner incarceration,is-a,"predictor of, transactional sex",,,,,'economic condition',22.0
33356537,Food insecurity,is-a,public health issue,,,,,'economic stability',17.0
33356537,Socioeconomic challenges,is-a,risk factor for food insecurity,0.6666666666666667,,social risk factor,,'impact of poor neighborhood',23.0
33356537,Health issues,is-a,risk factor for food insecurity,0.6666666666666667,,social risk factor,,'impact of poor neighborhood',23.0
33356537,Food Insecurity prevalence,is-a,research domain,,,,,social risk factor,15.0
33356537,Health status,is-a,research domain,,,,,social risk factor,15.0
33356537,Dietary practices,is-a,research domain,,,,,social risk factor,15.0
33356537,Health care utilization,is-a,research domain,,,,,social risk factor,15.0
33356537,Economic instability,is-a,research domain,,,,,social risk factor,15.0
33356537,Homelessness/housing instability,is-a,research domain,,,,,social risk factor,15.0
33356537,Food program participation,is-a,research domain,,,,,social risk factor,15.0
33356537,Community/emergency preparedness,is-a,research domain,,,,,social risk factor,15.0
33356537,Scoping literature review,is-a,research method,,,,,social risk factor,14.0
33356537,Data extraction,is-a,research method,,,,,social risk factor,14.0
33356537,Critical review,is-a,research method,,,,,social risk factor,14.0
34812655,Chronic obstructive pulmonary disease,is-a,Chronic disease,,,,,'economic condition',13.0
34812655,Economic instability,is-a,Social determinant of health,,,,,social risk factor,16.0
34812655,Stress,is-a,Psychological determinant of health,,,,,social risk factor,24.0
34812655,Financial insecurity,is-a,Economic instability,0.0,0.0,'economic instability','economic instability','economic instability',2.0
34812655,Housing insecurity,is-a,Economic instability,0.0,0.0,'economic instability','economic instability','economic instability',2.0
34812655,Food insecurity,is-a,Economic instability,0.0,0.0,'economic instability','economic instability','economic instability',2.0
34812655,Chronic obstructive pulmonary disease management programs,is-a,Health care program,0.6,,health care access factor,,health care access factor,12.0
34812655,Multinomial logistic models,is-a,Statistical Model,,,,,social risk factor,15.0
34812655,Behavioral Risk Factor Surveillance System,is-a,Health survey,,,,,social risk factor,15.0
34812655,'Social Determinants of Health' module,is-a,part of Behavioral Risk Factor Surveillance System,,,,,social risk factor,34.0
35765164,Pre-exposure prophylaxis (PrEP) uptake,is-a,HIV prevention strategy,,,,,'economic stability',19.0
35765164,Men who have sex with men (MSM),is-a,at-risk group for HIV,,,,,social risk factor,16.0
35765164,Emerging adulthood,is-a,period of increased vulnerability to HIV,,,,,'economic instability',26.0
35765164,Young MSM,is-a,subgroup of MSM,,,,,social risk factor,15.0
35765164,Mid-Atlantic urban metropolitan region of the U.S.,is-a,geographic area,,,,,social risk factor,14.0
35765164,Social identity support,is-a,factor influencing PrEP engagement,,,,,'economic condition',27.0
35765164,Descriptive PrEP norms,is-a,factor influencing PrEP engagement,,,,,'economic condition',27.0
35765164,Economic instability,is-a,potential barrier to PrEP engagement,,,,,social risk factor,27.0
35765164,PrEP engagement,is-a,measure of HIV prevention strategy uptake,,,,,'economic instability',31.0
35765164,Socioecological model,is-a,framework for studying PrEP engagement,,,,,'neighborhood and built in environment',29.0
35765164,Community capacity building,is-a,strategy for increasing PrEP engagement,,,,,'healthcare access and equality',30.0
32523231,Economic instability,is-a,Social determinant of health,,,,,social risk factor,16.0
32523231,Employment,is-a,Component of economic instability,0.5,,'economic instability',,'economic instability',14.0
32523231,Income,is-a,Component of economic instability,0.5,,'economic instability',,'economic instability',14.0
32523231,Financial well-being,is-a,Component of economic instability,0.5,,'economic instability',,'economic instability',14.0
32523231,Social policy,is-a,Factor influencing economic instability,0.5,,'economic instability',,'economic instability',20.0
32523231,Employment instability,is-a,Aspect of economic instability,0.5,,'economic instability',,'economic instability',11.0
32523231,Family structure,is-a,Social determinant of health,,,,,social risk factor,16.0
32523231,Workplace regulations,is-a,Social policy,,,,,social risk factor,10.0
32523231,Child-care subsidies,is-a,Social policy,,,,,social risk factor,10.0
33046932,Complex emergencies,is-a,major humanitarian emergencies,,,,,social risk factor,24.0
33046932,Natural disasters,is-a,emergencies,,,,,social risk factor,16.0
33046932,Major disease outbreaks,is-a,emergencies,,,,,social risk factor,16.0
33046932,National Veterinary Services,is-a,external interventions,,,,,'economic condition',16.0
33046932,Multisector integrated disaster management plans,is-a,preparedness and response strategies,,,,,health care access factor,28.0
33046932,Mitigation,is-a,"part of, disaster management plans",,,,,health care access factor,27.0
33046932,Prevention,is-a,"part of, disaster management plans",,,,,health care access factor,27.0
33046932,Recovery strategies,is-a,"part of, disaster management plans",,,,,health care access factor,27.0
33046932,Animal-health-related interventions,is-a,"part of, National Veterinary Services' responsibilities",,,,,'impact of poor healthcare access and quality',38.0
33046932,Displaced people,is-a,affected parties in complex emergencies,,,,,health care access factor,30.0
33046932,Host communities,is-a,affected parties in complex emergencies,,,,,health care access factor,30.0
33046932,Pastoralists,is-a,affected parties in complex emergencies,,,,,health care access factor,30.0
32568157,Job insecurity,is a type of,employment-related economic stress,,,,,'economic condition',26.0
32568157,Financial stress,is a type of,income-related economic stress,,,,,'economic condition',22.0
32568157,Safety injuries,is a result of,economic stress,0.6666666666666667,,'economic stability',,'economic stability',9.0
32568157,Accidents under-reporting,is a result of,economic stress,0.6666666666666667,,'economic stability',,'economic stability',9.0
32568157,Economic stress,is a result of,emotional contagion,,,,,'economic condition',11.0
32568157,Financial strain,is a result of,anger-contagion,,,,,'economic condition',13.0
32568157,Job insecurity,is a result of,anger-contagion,,,,,'economic condition',13.0
32568157,Reduced economic stress,is a result of,joy-contagion,,,,,'economic condition',13.0
32604457,Terrorism,is-a,Major Threat,,,,,social risk factor,14.0
32604457,Economic Instability,is-a,Major Threat,,,,,social risk factor,14.0
32604457,Poverty,is-a,Major Threat,,,,,social risk factor,14.0
32604457,Natural Disasters,is-a,Major Threat,,,,,social risk factor,14.0
32604457,Infectious Diseases,is-a,Minor Problem,,,,,'economic stability',15.0
32604457,COVID-19,is-a,Global Pandemic,,,,,social risk factor,14.0
32604457,Gastrointestinal Disorders,is-a,Health Problem for Travelers,,,,,health care access factor,18.0
32604457,Dermatoses,is-a,Health Problem for Travelers,,,,,health care access factor,18.0
32604457,Respiratory Infections,is-a,Health Problem for Travelers,,,,,health care access factor,18.0
32604457,Fevers of Unknown Origin,is-a,Health Problem for Travelers,,,,,health care access factor,18.0
32604457,Medical Interview,is-a,Foundation of Post-travel Screening Process,,,,,'impact of poor neighborhood',31.0
32604457,Physical Examination,is-a,Method for Detecting Illnesses,,,,,health care access factor,24.0
32604457,Diagnostic Tests,is-a,Method for Detecting Illnesses,,,,,health care access factor,24.0
24753897,health systems,is-a,"provider of, quality health care",,,,,social risk factor,24.0
24753897,health systems,is-a,"protector against, impoverishing health costs",,,,,'impact of poor neighborhood',33.0
24753897,infertility treatment,is-a,"cause of, catastrophic expenditure",,,,,health care access factor,25.0
24753897,infertility,is-a,"cause of, economic instability",0.5,,'economic instability',,'economic instability',11.0
24753897,infertility,is-a,"cause of, other economic disadvantages",,,,,'economic stability',27.0
24753897,out-of-pocket payment,is-a,"form of, patient's financial burden",,,,,social risk factor,27.0
24753897,economic implications,is-a,"factor in, infertility treatment",,,,,'economic instability',22.0
32434030,Mesopotamian culture,is-a,dawn of civilization,,,,,'economic condition',15.0
32434030,Asu and Asipu,is-a,physicians,,,,,social risk factor,16.0
32434030,Therapeutic and divinatory,is-a,forms of medicine,,,,,social risk factor,15.0
32434030,Code of Hammurabi,is-a,regulation framework for surgical procedures,,,,,'educational access and quality',31.0
32434030,Neurosurgery in present-day Iraq,is-a,challenge,,,,,social risk factor,15.0
32434030,Neurosurgeons in Iraq,is-a,professional group,,,,,social risk factor,17.0
32434030,Political,social,"and economic instability, is-a, condition in Iraq",,,,,'economic instability',29.0
32434030,Progress in neurosurgery in Iraq,is-a,achievement,,,,,social risk factor,15.0
37427266,Novelcoronavirus-19,is a,Pandemic,,,,,social risk factor,16.0
37427266,Sustainability Oriented Innovation System,is a,Economic Policy System,,,,,'economic stability',13.0
37427266,GDP growth rate,is a,Indicator of Economic Stability,0.5,,'economic stability',,'economic stability',14.0
37427266,Fixed Effect Methods,is a,Empirical Analysis Method,,,,,health care access factor,18.0
37427266,Innovation input index and innovation output index,are a,Measurement of Sustainability Oriented Innovation System,,,,,'neighborhood and built in environment',41.0
