0,1,2,3,Min Jaccard Distance,Min Euclidean Distance,Most Matching Term by Jaccard,Most Matching Term by Euclidean,Most Matching Term by Levenshtein,Min Levenshtein Distance
PMID,Child Concept,Relationship,Parent Concept,,,,,'student status',12.0
34334214,Economic instability,is-a,Economic condition,,,,,'food contamination',12.0
34334214,Negative earnings shock,is-a,Economic instability,,,,,'food contamination',15.0
34334214,CPS involvement,is-a,Child welfare involvement,,,,,'food contamination',19.0
34334214,Child abuse,is-a,CPS involvement,,,,,'food spoilage',14.0
34334214,Child neglect,is-a,CPS involvement,,,,,'food spoilage',14.0
34334214,Safety net programs,is-a,Social benefits,,,,,'food spoilage',15.0
34334214,Child maltreatment investigations,is-a,CPS involvement,,,,,'food spoilage',14.0
34334214,Benefit receipt,is-a,Safety net programs access,,,,,'food contamination',20.0
34334214,Income stability,is-a,Economic stability,,,,,'food spoilage',13.0
31169392,Family income,is-a,aspect of economic adversity,,,,,'poor food safety',20.0
31169392,Material hardship,is-a,aspect of economic adversity,,,,,'poor food safety',20.0
31169392,Financial strain,is-a,aspect of economic adversity,,,,,'poor food safety',20.0
31169392,Economic instability,is-a,aspect of economic adversity,,,,,'poor food safety',20.0
31169392,Household chaos,is-a,aspect of economic adversity,,,,,'poor food safety',20.0
32981999,Family income,is-a,economic characteristic,,,,,'food contamination',18.0
32981999,Household economic instability,is-a,household characteristic,,,,,'poor food safety',18.0
32981999,Employment instability,is-a,economic characteristic,,,,,'food contamination',18.0
32981999,Public assistance benefits,is-a,source of income,,,,,'food spoilage',14.0
32981999,Employment status,is-a,employment characteristic,,,,,'student status',18.0
32981999,Household hardship,is-a,socioeconomic condition,,,,,'food contamination',15.0
32981999,Economic instability,is-a,socioeconomic condition,,,,,'food contamination',15.0
37980086,Air Pollution,is-a,Environmental Health Risk,,,,,'student status',18.0
37980086,Obesity,is-a,Health Condition,,,,,'food contamination',12.0
37980086,Physical Inactivity,is-a,Lifestyle Factor,,,,,'student status',14.0
37980086,Low Income,is-a,Economic Factor,,,,,'food spoilage',14.0
25741184,Joint instability,is-a,health disorder,,,,,'food spoilage',14.0
25741184,Osteoarthritis,is-a,joint disease,,,,,'food spoilage',12.0
25741184,Ligament injury,is-a,joint injury,,,,,'student status',12.0
25741184,Periarticular muscles,is-a,major joint tissue,,,,,'poor food storage',13.0
25741184,Knee,is-a,joint,,,,,'food spoilage',13.0
25741184,Ankle,is-a,joint,,,,,'food spoilage',13.0
25741184,Shoulder,is-a,joint,,,,,'food spoilage',13.0
25741184,Joint instability-induced OA,is-a,clinical sign,,,,,'food spoilage',14.0
23237683,HIV/AIDS epidemic,is-a,epidemic,,,,,'food spoilage',13.0
23237683,South Africa,is-a,sub-Saharan African country,,,,,'food contamination',21.0
23237683,Botswana,is-a,sub-Saharan African country,,,,,'food contamination',21.0
23237683,Uganda,is-a,sub-Saharan African country,,,,,'food contamination',21.0
23237683,Zimbabwe,is-a,sub-Saharan African country,,,,,'food contamination',21.0
23237683,Political problems,is-a,social determinant,,,,,'food contamination',15.0
23237683,Social problems,is-a,social determinant,,,,,'food contamination',15.0
23237683,Economic problems,is-a,social determinant,,,,,'food contamination',15.0
23237683,Instability,is-a,social determinant,,,,,'food contamination',15.0
23237683,Breakdown of social ties,is-a,social determinant,,,,,'food contamination',15.0
23237683,Collective action/responsibility,is-a,theory,,,,,'food spoilage',14.0
23237683,Social cohesion,is-a,theory,,,,,'food spoilage',14.0
23237683,Conflicts and unrest,is-a,social determinant,,,,,'food contamination',15.0
35041484,Cardiovascular disease,is-a,disease,,,,,'food spoilage',11.0
35041484,Healthcare system,is-a,social determinant of health,,,,,'food contamination',21.0
35041484,Economic stability,is-a,social determinant of health,,,,,'food contamination',21.0
35041484,Education,is-a,social determinant of health,,,,,'food contamination',21.0
35041484,Neighborhood and physical environment,is-a,social determinant of health,,,,,'food contamination',21.0
35041484,Community and social context,is-a,social determinant of health,,,,,'food contamination',21.0
35041484,Race,is-a,factor influencing health,,,,,'poor cooking practices',20.0
35041484,Racism,is-a,societal issue affecting health,,,,,'income above poverty level',24.0
35041484,Structural racism,is-a,societal issue affecting health,,,,,'income above poverty level',24.0
35041484,Black,Hispanic,"American Indian, Asian, is-a, racial and ethnic groups",,,,,'entrapment or collisions at home',42.0
35041484,Social disadvantage,is-a,factor contributing to health disparities,,,,,'poor cooking practices',28.0
35041484,Health equity,is-a,goal of health policy,,,,,'food spoilage',18.0
28937462,This study,has objective,review all articles related to spinal instability,,,,,'immigration status',38.0
28937462,Spinal instability,is a characteristic of,Traumatic fractures of the thoracolumbar spine,,,,,'structural failure',34.0
28937462,Traumatic fractures of the thoracolumbar spine,can cause,neurological deficits,,,,,'structural failure',17.0
28937462,Traumatic fractures of the thoracolumbar spine,can cause,disability,,,,,'food spoilage',11.0
28937462,Traumatic fractures of the thoracolumbar spine,can cause,deformity,,,,,'food spoilage',13.0
28937462,Traumatic fractures of the thoracolumbar spine,can cause,pain,,,,,'food spoilage',13.0
28937462,Traumatic fractures of the thoracolumbar spine,represent,economic burden to society,,,,,'poor food safety',18.0
28937462,Spinal instability,is an important task for assessment by,spine surgeons,,,,,'food spoilage',13.0
28937462,Spinal instability,lacks,clinically applicable definition,,,,,'food contamination',25.0
37019584,Social determinants of health,is-a,social condition,,,,,'food contamination',12.0
37019584,Social determinants of health,is-a,environment aspect,,,,,'student status',15.0
37019584,Social determinants of health,is-a,geographic location factor,,,,,'poor food safety',19.0
37019584,Social determinants of health,is-a,health care access factor,,,,,'broadband access issues',17.0
37019584,Social determinants of health,is-a,nutrition aspect,,,,,'food spoilage',14.0
37019584,Social determinants of health,is-a,socioeconomic factor,,,,,'food contamination',15.0
37019584,Economic stability,is-a,domain of Social determinants of health,,,,,'food contamination',29.0
37019584,Education,is-a,domain of Social determinants of health,,,,,'food contamination',29.0
37019584,Health care access and quality,is-a,domain of Social determinants of health,,,,,'food contamination',29.0
37019584,Social and community context,is-a,domain of Social determinants of health,,,,,'food contamination',29.0
37019584,Neighborhood and built environment,is-a,domain of Social determinants of health,,,,,'food contamination',29.0
37019584,Cardiovascular care,is-a,area impacted by Social determinants of health,,,,,'entrapment or collisions at home',34.0
31332597,Transactional sex,is-associated-with,socioeconomic disadvantage,,,,,'food contamination',20.0
31332597,Transactional sex,is-associated-with,HIV risk,,,,,'food spoilage',13.0
31332597,Transactional sex,is-distinguished-from,sex work,,,,,'food spoilage',13.0
31332597,Food insecurity,is-a,"predictor of, transactional sex",,,,,'poor cooking practices',22.0
31332597,Housing instability,is-a,"predictor of, transactional sex",,,,,'poor cooking practices',22.0
31332597,Substance abuse,is-a,"predictor of, transactional sex",,,,,'poor cooking practices',22.0
31332597,Partner incarceration,is-a,"predictor of, transactional sex",,,,,'poor cooking practices',22.0
33356537,Food insecurity,is-a,public health issue,,,,,'structural failure',15.0
33356537,Socioeconomic challenges,is-a,risk factor for food insecurity,,,,,'poor food safety',20.0
33356537,Health issues,is-a,risk factor for food insecurity,,,,,'poor food safety',20.0
33356537,Food Insecurity prevalence,is-a,research domain,,,,,'food contamination',15.0
33356537,Health status,is-a,research domain,,,,,'food contamination',15.0
33356537,Dietary practices,is-a,research domain,,,,,'food contamination',15.0
33356537,Health care utilization,is-a,research domain,,,,,'food contamination',15.0
33356537,Economic instability,is-a,research domain,,,,,'food contamination',15.0
33356537,Homelessness/housing instability,is-a,research domain,,,,,'food contamination',15.0
33356537,Food program participation,is-a,research domain,,,,,'food contamination',15.0
33356537,Community/emergency preparedness,is-a,research domain,,,,,'food contamination',15.0
33356537,Scoping literature review,is-a,research method,,,,,'student status',14.0
33356537,Data extraction,is-a,research method,,,,,'student status',14.0
33356537,Critical review,is-a,research method,,,,,'student status',14.0
34812655,Chronic obstructive pulmonary disease,is-a,Chronic disease,,,,,'food spoilage',12.0
34812655,Economic instability,is-a,Social determinant of health,,,,,'food contamination',21.0
34812655,Stress,is-a,Psychological determinant of health,,,,,'food contamination',25.0
34812655,Financial insecurity,is-a,Economic instability,,,,,'food contamination',15.0
34812655,Housing insecurity,is-a,Economic instability,,,,,'food contamination',15.0
34812655,Food insecurity,is-a,Economic instability,,,,,'food contamination',15.0
34812655,Chronic obstructive pulmonary disease management programs,is-a,Health care program,,,,,'poor food storage',16.0
34812655,Multinomial logistic models,is-a,Statistical Model,,,,,'structural failure',14.0
34812655,Behavioral Risk Factor Surveillance System,is-a,Health survey,,,,,'food spoilage',13.0
34812655,'Social Determinants of Health' module,is-a,part of Behavioral Risk Factor Surveillance System,,,,,'poor cooking practices',39.0
35765164,Pre-exposure prophylaxis (PrEP) uptake,is-a,HIV prevention strategy,,,,,'immigration status',13.0
35765164,Men who have sex with men (MSM),is-a,at-risk group for HIV,,,,,'poor food storage',17.0
35765164,Emerging adulthood,is-a,period of increased vulnerability to HIV,,,,,'exposed nails in home',29.0
35765164,Young MSM,is-a,subgroup of MSM,,,,,'food spoilage',14.0
35765164,Mid-Atlantic urban metropolitan region of the U.S.,is-a,geographic area,,,,,'food spoilage',11.0
35765164,Social identity support,is-a,factor influencing PrEP engagement,,,,,'poor cooking practices',24.0
35765164,Descriptive PrEP norms,is-a,factor influencing PrEP engagement,,,,,'poor cooking practices',24.0
35765164,Economic instability,is-a,potential barrier to PrEP engagement,,,,,'income above poverty level',26.0
35765164,PrEP engagement,is-a,measure of HIV prevention strategy uptake,,,,,'immigration status',29.0
35765164,Socioecological model,is-a,framework for studying PrEP engagement,,,,,'poor cooking practices',27.0
35765164,Community capacity building,is-a,strategy for increasing PrEP engagement,,,,,'poor cooking practices',28.0
32523231,Economic instability,is-a,Social determinant of health,,,,,'food contamination',21.0
32523231,Employment,is-a,Component of economic instability,,,,,'food contamination',23.0
32523231,Income,is-a,Component of economic instability,,,,,'food contamination',23.0
32523231,Financial well-being,is-a,Component of economic instability,,,,,'food contamination',23.0
32523231,Social policy,is-a,Factor influencing economic instability,,,,,'poor cooking practices',29.0
32523231,Employment instability,is-a,Aspect of economic instability,,,,,'food contamination',21.0
32523231,Family structure,is-a,Social determinant of health,,,,,'food contamination',21.0
32523231,Workplace regulations,is-a,Social policy,,,,,'food spoilage',12.0
32523231,Child-care subsidies,is-a,Social policy,,,,,'food spoilage',12.0
33046932,Complex emergencies,is-a,major humanitarian emergencies,,,,,'food contamination',22.0
33046932,Natural disasters,is-a,emergencies,,,,,'food spoilage',13.0
33046932,Major disease outbreaks,is-a,emergencies,,,,,'food spoilage',13.0
33046932,National Veterinary Services,is-a,external interventions,,,,,'food contamination',16.0
33046932,Multisector integrated disaster management plans,is-a,preparedness and response strategies,,,,,'poor food storage',27.0
33046932,Mitigation,is-a,"part of, disaster management plans",,,,,'poor food storage',25.0
33046932,Prevention,is-a,"part of, disaster management plans",,,,,'poor food storage',25.0
33046932,Recovery strategies,is-a,"part of, disaster management plans",,,,,'poor food storage',25.0
33046932,Animal-health-related interventions,is-a,"part of, National Veterinary Services' responsibilities",,,,,'broadband access issues',42.0
33046932,Displaced people,is-a,affected parties in complex emergencies,,,,,'exposed nails in home',26.0
33046932,Host communities,is-a,affected parties in complex emergencies,,,,,'exposed nails in home',26.0
33046932,Pastoralists,is-a,affected parties in complex emergencies,,,,,'exposed nails in home',26.0
32568157,Job insecurity,is a type of,employment-related economic stress,,,,,'immigration status',25.0
32568157,Financial stress,is a type of,income-related economic stress,,,,,'income above poverty level',20.0
32568157,Safety injuries,is a result of,economic stress,,,,,'student status',12.0
32568157,Accidents under-reporting,is a result of,economic stress,,,,,'student status',12.0
32568157,Economic stress,is a result of,emotional contagion,,,,,'food contamination',13.0
32568157,Financial strain,is a result of,anger-contagion,,,,,'food contamination',12.0
32568157,Job insecurity,is a result of,anger-contagion,,,,,'food contamination',12.0
32568157,Reduced economic stress,is a result of,joy-contagion,,,,,'food contamination',11.0
32604457,Terrorism,is-a,Major Threat,,,,,'food spoilage',12.0
32604457,Economic Instability,is-a,Major Threat,,,,,'food spoilage',12.0
32604457,Poverty,is-a,Major Threat,,,,,'food spoilage',12.0
32604457,Natural Disasters,is-a,Major Threat,,,,,'food spoilage',12.0
32604457,Infectious Diseases,is-a,Minor Problem,,,,,'food spoilage',10.0
32604457,COVID-19,is-a,Global Pandemic,,,,,'food spoilage',13.0
32604457,Gastrointestinal Disorders,is-a,Health Problem for Travelers,,,,,'poor food safety',21.0
32604457,Dermatoses,is-a,Health Problem for Travelers,,,,,'poor food safety',21.0
32604457,Respiratory Infections,is-a,Health Problem for Travelers,,,,,'poor food safety',21.0
32604457,Fevers of Unknown Origin,is-a,Health Problem for Travelers,,,,,'poor food safety',21.0
32604457,Medical Interview,is-a,Foundation of Post-travel Screening Process,,,,,'poor cooking practices',32.0
32604457,Physical Examination,is-a,Method for Detecting Illnesses,,,,,'food contamination',21.0
32604457,Diagnostic Tests,is-a,Method for Detecting Illnesses,,,,,'food contamination',21.0
24753897,health systems,is-a,"provider of, quality health care",,,,,'poor cooking practices',24.0
24753897,health systems,is-a,"protector against, impoverishing health costs",,,,,'entrapment or collisions at home',30.0
24753897,infertility treatment,is-a,"cause of, catastrophic expenditure",,,,,'structural failure',26.0
24753897,infertility,is-a,"cause of, economic instability",,,,,'food contamination',21.0
24753897,infertility,is-a,"cause of, other economic disadvantages",,,,,'poor cooking practices',27.0
24753897,out-of-pocket payment,is-a,"form of, patient's financial burden",,,,,'food contamination',26.0
24753897,economic implications,is-a,"factor in, infertility treatment",,,,,'food contamination',24.0
32434030,Mesopotamian culture,is-a,dawn of civilization,,,,,'food contamination',13.0
32434030,Asu and Asipu,is-a,physicians,,,,,'food spoilage',12.0
32434030,Therapeutic and divinatory,is-a,forms of medicine,,,,,'food spoilage',13.0
32434030,Code of Hammurabi,is-a,regulation framework for surgical procedures,,,,,'poor cooking practices',33.0
32434030,Neurosurgery in present-day Iraq,is-a,challenge,,,,,'food spoilage',13.0
32434030,Neurosurgeons in Iraq,is-a,professional group,,,,,'food spoilage',13.0
32434030,Political,social,"and economic instability, is-a, condition in Iraq",,,,,'food contamination',37.0
32434030,Progress in neurosurgery in Iraq,is-a,achievement,,,,,'student status',14.0
37427266,Novelcoronavirus-19,is a,Pandemic,,,,,'food spoilage',13.0
37427266,Sustainability Oriented Innovation System,is a,Economic Policy System,,,,,'food spoilage',16.0
37427266,GDP growth rate,is a,Indicator of Economic Stability,,,,,'poor food safety',21.0
37427266,Fixed Effect Methods,is a,Empirical Analysis Method,,,,,'exposed nails in home',19.0
